,PMID,Publication Title,Authors,Publication Date,Journal,dbgap_accession,RADx Program,Study Name,Citations,IF,All PHS,Study Count
0,34343985,Exhaled breath biomarkers of influenza infection and influenza vaccination.,"Borras E, McCartney MM, Thompson CH, Meagher RJ, Kenyon NJ, Schivo M, Davis CE",2021 Aug 19,Journal of breath research,phs002600,RADx-rad,Portable GC Detector for COVID Diagnostics,7,3.7,['phs002600'],1
1,36323819,Associations Between General Vaccine Hesitancy and Healthcare Access Among Arkansans.,"McElfish PA, Selig JP, Scott AJ, Rowland B, Willis DE, Reece S, CarlLee S, Macechko MD, Shah SK",2023 Mar,Journal of general internal medicine,phs002520,RADx-UP,Community-Based COVID-19 Testing Evaluation,6,4.3,['phs002520'],1
2,35200361,Context-Aware Diagnostic Specificity (CADS).,"McLamore ES, Moreira G, Vanegas DC, Datta SPA",2022 Feb 7,Biosensors,phs002546,RADx-rad,Development of an Automated Diagnostic Platform for SARS-CoV-2 Monitoring in Vulnerable Areas,1,4.9,['phs002546'],1
3,36070518,Factors influencing COVID-19 vaccine decision-making among hesitant adopters in the United States.,"Purvis RS, Moore R, Willis DE, Hallgren E, McElfish PA",2022 Nov 30,Human vaccines & immunotherapeutics,phs002520,RADx-UP,Community-Based COVID-19 Testing Evaluation,16,4.1,['phs002520'],1
4,37205441,Self-assembly of DNA nanostructures in different cations.,"Rodriguez A, Gandavadi D, Mathivanan J, Song T, Madhanagopal BR, Talbot H, Sheng J, Wang X, Chandrasekaran AR",2023 May 4,bioRxiv : the preprint server for biology,phs002573,RADx-rad,Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,0,,['phs002573'],1
5,36963325,Rapid detection of intact SARS-CoV-2 using designer DNA Nets and a pocket-size smartphone-linked fluorimeter.,"Lee H, Wang W, Chauhan N, Xiong Y, Magazine N, Valdescruz O, Kim DY, Qiu T, Huang W, Wang X, Cunningham BT",2023 Jun 1,Biosensors & bioelectronics,phs002573,RADx-rad,Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,2,10.7,['phs002573'],1
6,36240259,Genetic diversity and evolutionary convergence of cryptic SARS- CoV-2 lineages detected via wastewater sequencing.,"Gregory DA, Trujillo M, Rushford C, Flury A, Kannoly S, San KM, Lyfoung DT, Wiseman RW, Bromert K, Zhou MY, Kesler E, Bivens NJ, Hoskins J, Lin CH, O'Connor DH, Wieberg C, Wenzel J, Kantor RS, Dennehy JJ, Johnson MC",2022 Oct,PLoS pathogens,phs002679,RADx-rad,Wastewater Detection of COVID-19,39,5.5,['phs002679'],1
7,35830746,Identification and quantification of bioactive compounds suppressing SARS-CoV-2 signals in wastewater-based epidemiology surveillance.,"Bayati M, Hsieh HY, Hsu SY, Li C, Rogers E, Belenchia A, Zemmer SA, Blanc T, LePage C, Klutts J, Reynolds M, Semkiw E, Johnson HY, Foley T, Wieberg CG, Wenzel J, Lyddon T, LePique M, Rushford C, Salcedo B, Young K, Graham M, Suarez R, Ford A, Lei Z, Sumner L, Mooney BP, Wei X, Greenlief CM, Johnson MC, Lin CH",2022 Aug 1,Water research,phs002679,RADx-rad,Wastewater Detection of COVID-19,9,11.4,['phs002679'],1
8,34452511,Monitoring SARS-CoV-2 Populations in Wastewater by Amplicon Sequencing and Using the Novel Program SAM Refiner.,"Gregory DA, Wieberg CG, Wenzel J, Lin CH, Johnson MC",2021 Aug 19,Viruses,phs002679,RADx-rad,Wastewater Detection of COVID-19,33,3.8,['phs002679'],1
9,35368385,"IL-1 receptor antagonist, MIS-C, and the peculiar autoimmunity of SARS-CoV-2.","Bassiri H, Canna SW",2022 May,The Lancet. Rheumatology,phs002603,RADx-rad,Diagnosis of MIS-C in Febrile Children,2,15.0,['phs002603'],1
10,35118829,American College of Rheumatology Clinical Guidance for Multisystem Inflammatory Syndrome in Children Associated With SARS-CoV-2 and Hyperinflammation in Pediatric COVID-19: Version 3.,"Henderson LA, Canna SW, Friedman KG, Gorelik M, Lapidus SK, Bassiri H, Behrens EM, Kernan KF, Schulert GS, Seo P, Son MBF, Tremoulet AH, VanderPluym C, Yeung RSM, Mudano AS, Turner AS, Karp DR, Mehta JJ",2022 Apr,"Arthritis & rheumatology (Hoboken, N.J.)",phs002603,RADx-rad,Diagnosis of MIS-C in Febrile Children,165,11.4,['phs002603'],1
11,34365798,Skewed Cytokine Responses Rather Than the Magnitude of the Cytokine Storm May Drive Cardiac Dysfunction in Multisystem Inflammatory Syndrome in Children.,"Chang JC, Matsubara D, Morgan RW, Diorio C, Nadaraj S, Teachey DT, Bassiri H, Behrens EM, Banerjee A",2021 Aug 17,Journal of the American Heart Association,phs002603,RADx-rad,Diagnosis of MIS-C in Febrile Children,19,5.0,['phs002603'],1
12,33907759,Proteomic Profiling of MIS-C Patients Reveals Heterogeneity Relating to Interferon Gamma Dysregulation and Vascular Endothelial Dysfunction.,"Diorio C, Shraim R, Vella LA, Giles JR, Baxter AE, Oldridge DA, Canna SW, Henrickson SE, McNerney KO, Balamuth F, Burudpakdee C, Lee J, Leng T, Farrell A, Lambert MP, Sullivan KE, John Wherry E, Teachey DT, Bassiri H, Behrens EM",2021 Apr 20,medRxiv : the preprint server for health sciences,phs002603,RADx-rad,Diagnosis of MIS-C in Febrile Children,2,,['phs002603'],1
